■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202301~202306   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2023년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
193,마담 프루스트의 비밀정원,2014-07-24,2097000,0,1280113362,140,163217,1,1,프랑스,프랑스,찬란
193,그날이 오면,,280000,0,14926000,140,6955,1,4,미국,미국,
199,파리의 아메리카인,,288000,0,8450000,139,3922,1,9,미국,미국,
200,세상을 바꾼 변호인,2019-06-13,966000,0,397071170,138,50744,1,1,미국,미국,CGV아트하우스
200,장고,,447000,0,4765500,138,1778,1,9,,,
202,신데렐라,,3885900,0,26860500,136,929,14,16,영국,영국,
203,카라마조프가의 형제들,,279000,0,12910000,134,5939,1,8,미국,미국,
204,살롱 드 서울,2023-06-21,1310750,0,1310750,132,132,7,47,한국,한국,주식회사 씨엠닉스
205,폭군 연산,,252000,0,3206000,126,1603,1,6,한국,한국,
206,링고의 귀환,,375000,0,582000,125,159,1,6,이탈리아,"이탈리아,스페인",
207,바빌론,2023-02-01,1191000,0,2114483105,124,210593,1,12,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
208,원더,2017-12-27,1476000,0,2064389729,123,271562,1,1,미국,미국,"CGV아트하우스,그린나래미디어(주)"
209,빈 필하모닉 정기연주회: 헤르베르트 블롬슈테트 & 레오니다스 카바코스,,2950000,0,2950000,118,118,13,43,독일,독일,
209,용장 로모로,,119000,0,1023000,118,495,1,8,이탈리아,"이탈리아,프랑스",
211,그랜드 듀얼,,357000,0,1754000,117,748,1,6,이탈리아,"이탈리아,서독,프랑스",
212,레이니 데이 인 뉴욕,2020-05-06,1178000,0,810758200,111,92158,1,12,미국,미국,"그린나래미디어(주),(주)버킷스튜디오"
213,길은 멀어도 마음만은,1977-07-16,115000,0,7691000,110,3883,1,8,스페인,스페인,
214,벌집의 아이들,,679000,0,1077000,108,191,1,2,일본,일본,
215,아나스타샤,,324000,0,4741000,107,2145,1,6,미국,미국,
216,제복의 처녀,,106000,0,106000,105,105,1,8,프랑스,"프랑스,독일",
216,황야의 동업자,1972-08-12,318000,0,318000,105,105,1,4,스페인,"스페인,이탈리아,서독",
218,사랑의 결단,,208000,0,3002000,104,1501,1,4,미국,미국,
